"RunId","OriginalPath","QuarantinePath","MovedAtUtc"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe.ignore","2026-08-05T11:44:43.0943511Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe.manifest","2026-08-05T11:44:43.1531616Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_CREDITS.txt","2026-08-05T11:44:43.3270748Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_LICENSE.txt","2026-08-05T11:44:43.3661239Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyInstaller.psm1","2026-08-05T11:44:43.4965131Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyProfile.psm1","2026-08-05T11:44:43.5717807Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyScriptRunner.ps1","2026-08-05T11:44:43.6697268Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\ChocolateyTabExpansion.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_ChocolateyTabExpansion.ps1","2026-08-05T11:44:43.8437601Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Format-FileSize.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Format-FileSize.ps1","2026-08-05T11:44:44.3229079Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-CheckSumValid.ps1","2026-08-05T11:44:44.5324465Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-ChocolateyPath.ps1","2026-08-05T11:44:44.6344500Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyUnzip.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-ChocolateyUnzip.ps1","2026-08-05T11:44:44.7280178Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyWebFile.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-ChocolateyWebFile.ps1","2026-08-05T11:44:44.8399024Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariable.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-EnvironmentVariable.ps1","2026-08-05T11:44:44.9680422Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariableNames.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-EnvironmentVariableNames.ps1","2026-08-05T11:44:45.0558336Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-FtpFile.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-FtpFile.ps1","2026-08-05T11:44:45.1630364Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-OSArchitectureWidth.ps1","2026-08-05T11:44:45.3682165Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-PackageParameters.ps1","2026-08-05T11:44:45.4541331Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-ToolsLocation.ps1","2026-08-05T11:44:45.5529731Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UACEnabled.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-UACEnabled.ps1","2026-08-05T11:44:45.6635075Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-UninstallRegistryKey.ps1","2026-08-05T11:44:45.7340845Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-VirusCheckValid.ps1","2026-08-05T11:44:46.1466664Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-WebFile.ps1","2026-08-05T11:44:46.3581940Z"
