"RunId","OriginalPath","QuarantinePath","MovedAtUtc"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe.manifest","2026-08-05T12:01:45.6547677Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_CREDITS.txt","2026-08-05T12:01:45.6607670Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_LICENSE.txt","2026-08-05T12:01:45.6684219Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyInstaller.psm1","2026-08-05T12:01:45.6744207Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyProfile.psm1","2026-08-05T12:01:45.6804246Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyScriptRunner.ps1","2026-08-05T12:01:45.6894232Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\ChocolateyTabExpansion.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_ChocolateyTabExpansion.ps1","2026-08-05T12:01:45.6964236Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Format-FileSize.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Format-FileSize.ps1","2026-08-05T12:01:45.7045391Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-CheckSumValid.ps1","2026-08-05T12:01:45.7125355Z"
"595e4470-8f2b-4bc9-a487-7e918bb536a0","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanup\TempCleanupState\Quarantine\595e4470-8f2b-4bc9-a487-7e918bb536a0_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-ChocolateyPath.ps1","2026-08-05T12:01:45.7185375Z"
